26 Jan 2019 | 15:08:33,615 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field data1
26 Jan 2019 | 15:08:33,618 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field date
26 Jan 2019 | 15:08:33,619 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field localDate
26 Jan 2019 | 15:08:33,620 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field localDateTime
26 Jan 2019 | 15:08:33,620 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field clazz
26 Jan 2019 | 15:08:33,620 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,620 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,623 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field x
26 Jan 2019 | 15:08:33,623 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field y
26 Jan 2019 | 15:08:33,624 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,624 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,624 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan method getB
26 Jan 2019 | 15:08:33,624 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan method getXY
26 Jan 2019 | 15:08:33,624 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.Point
26 Jan 2019 | 15:08:33,635 | DEBUG | main | binding.impl.EzyObjectWriterBuilder |     | class com.tvd12.ezyfox.binding.testing.Point$EzyObjectWriter$EzyAutoImpl$4 has generated
26 Jan 2019 | 15:08:33,636 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | start scan class com.tvd12.ezyfox.binding.testing.EzyTestData
26 Jan 2019 | 15:08:33,637 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field data1
26 Jan 2019 | 15:08:33,637 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field data2
26 Jan 2019 | 15:08:33,638 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field data3
26 Jan 2019 | 15:08:33,638 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,638 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,638 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.EzyTestData
26 Jan 2019 | 15:08:33,643 | DEBUG | main | binding.impl.EzyObjectWriterBuilder |     | class com.tvd12.ezyfox.binding.testing.EzyTestData$EzyObjectWriter$EzyAutoImpl$5 has generated
26 Jan 2019 | 15:08:33,648 | INFO  | main | binding.testing.EzySimpleBindingContextObjectTest |     | ===== Start test EzySimpleBindingContextObjectTest =====
26 Jan 2019 | 15:08:33,651 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | start scan class com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1
26 Jan 2019 | 15:08:33,652 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field name
26 Jan 2019 | 15:08:33,652 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field value
26 Jan 2019 | 15:08:33,652 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,653 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,653 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1
26 Jan 2019 | 15:08:33,653 | DEBUG | main | binding.impl.EzyObjectWriterBuilder |     | writer: method content 
public java.lang.Object write(com.tvd12.ezyfox.binding.EzyMarshaller arg0, java.lang.Object arg1) {
	try {
		return this.write$impl(arg0, arg1);
	} catch(java.lang.Exception e) {
		throw new java.lang.IllegalStateException("can't write object "+ arg1, e);
	}
}
26 Jan 2019 | 15:08:33,653 | DEBUG | main | binding.impl.EzyObjectWriterBuilder |     | writer: method content 
protected java.lang.Object write$impl(com.tvd12.ezyfox.binding.EzyMarshaller arg0, java.lang.Object arg1) {
	com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1 object = ((com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1)(arg1));
	com.tvd12.ezyfox.builder.EzyObjectBuilder builder = com.tvd12.ezyfox.factory.EzyEntityFactory.newObjectBuilder();
	builder.append("name", (java.lang.Object)arg0.marshal(object.getName()));
	builder.append("value", (java.lang.Object)arg0.marshal(object.getValue()));
	return builder.build();
}
26 Jan 2019 | 15:08:33,657 | DEBUG | main | binding.impl.EzyObjectWriterBuilder |     | class com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1$EzyObjectWriter$EzyAutoImpl$6 has generated
26 Jan 2019 | 15:08:33,658 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | start scan class com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1
26 Jan 2019 | 15:08:33,658 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field name
26 Jan 2019 | 15:08:33,659 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field value
26 Jan 2019 | 15:08:33,659 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,659 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,659 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1
26 Jan 2019 | 15:08:33,660 | DEBUG | main | binding.impl.EzyObjectReaderBuilder |     | reader: method content 
public java.lang.Object read(com.tvd12.ezyfox.binding.EzyUnmarshaller arg0, java.lang.Object arg1) {
	try {
		return this.read$impl( arg0, arg1);
	} catch(java.lang.Exception e) {
		throw new java.lang.IllegalStateException("can't read value "+ arg1, e);
	}
}
26 Jan 2019 | 15:08:33,660 | DEBUG | main | binding.impl.EzyObjectReaderBuilder |     | reader: method content 
protected java.lang.Object read$impl(com.tvd12.ezyfox.binding.EzyUnmarshaller arg0, java.lang.Object arg1) {
	com.tvd12.ezyfox.entity.EzyObject value = ((com.tvd12.ezyfox.entity.EzyObject)(arg1));
	com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1 object = new com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1();
	if(value.isNotNullValue("name"))
		object.setName(((java.lang.String)(arg0.unmarshal((java.lang.Object)value.getValue("name", java.lang.String.class), java.lang.String.class))));
	if(value.isNotNullValue("value"))
		object.setValue(((java.lang.String)(arg0.unmarshal((java.lang.Object)value.getValue("value", java.lang.String.class), java.lang.String.class))));
	return object;
}
26 Jan 2019 | 15:08:33,667 | DEBUG | main | binding.impl.EzyObjectReaderBuilder |     | class com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1$EzyObjectReader$EzyAutoImpl$4 has generated
26 Jan 2019 | 15:08:33,667 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | start scan class com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1
26 Jan 2019 | 15:08:33,668 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field name
26 Jan 2019 | 15:08:33,668 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field value
26 Jan 2019 | 15:08:33,668 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field $jacocoData
26 Jan 2019 | 15:08:33,668 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | field $jacocoData has not getter/setter, ignore it
26 Jan 2019 | 15:08:33,668 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | finish scan class com.tvd12.ezyfox.binding.testing.EzySimpleBindingContextObjectTest$A1
26 Jan 2019 | 15:08:33,669 | DEBUG | main | binding.impl.EzyObjectUnwrapperBuilder |     | reader: method content 
